weather_description,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,current_luminosity,sunrise,sunset,creation_date,datetime
algumas nuvens,10,1029,100,1,20,DARK,2019-02-28 07:09:04,2019-02-28 18:23:45,2019-02-28 23:04:58,2019-02-28 23
algumas nuvens,10,1029,100,1,20,DARK,2019-02-28 07:09:08,2019-02-28 18:23:42,2019-02-28 22:04:58,2019-02-28 22
algumas nuvens,10,1029,93,2,40,DARK,2019-02-28 07:09:12,2019-02-28 18:23:40,2019-02-28 21:04:58,2019-02-28 21
algumas nuvens,11,1029,93,3,75,DARK,2019-02-28 07:09:16,2019-02-28 18:23:37,2019-02-28 20:04:58,2019-02-28 20
algumas nuvens,12,1029,87,3,20,DARK,2019-02-28 07:09:20,2019-02-28 18:23:34,2019-02-28 19:04:58,2019-02-28 19
algumas nuvens,13,1029,87,4,20,LOW_LIGHT,2019-02-28 07:09:24,2019-02-28 18:23:31,2019-02-28 18:04:58,2019-02-28 18
algumas nuvens,14,1029,82,4,20,LIGHT,2019-02-28 07:09:28,2019-02-28 18:23:28,2019-02-28 17:04:58,2019-02-28 17
algumas nuvens,15,1030,82,4,20,LIGHT,2019-02-28 07:09:32,2019-02-28 18:23:25,2019-02-28 16:04:58,2019-02-28 16
algumas nuvens,15,1030,82,3,20,LIGHT,2019-02-28 07:09:36,2019-02-28 18:23:22,2019-02-28 15:04:58,2019-02-28 15
céu claro,15,1031,76,2,0,LIGHT,2019-02-28 07:09:39,2019-02-28 18:23:19,2019-02-28 14:04:58,2019-02-28 14
céu claro,14,1032,71,2,0,LIGHT,2019-02-28 07:09:43,2019-02-28 18:23:16,2019-02-28 13:04:59,2019-02-28 13
céu claro,14,1032,71,3,0,LIGHT,2019-02-28 07:09:47,2019-02-28 18:23:13,2019-02-28 12:04:58,2019-02-28 12
céu claro,12,1032,81,2,0,LIGHT,2019-02-28 07:09:51,2019-02-28 18:23:10,2019-02-28 11:04:59,2019-02-28 11
céu claro,9,1032,87,1,0,LIGHT,2019-02-28 07:09:55,2019-02-28 18:23:07,2019-02-28 10:04:58,2019-02-28 10
algumas nuvens,7,1032,93,1,12,LIGHT,2019-02-28 07:09:59,2019-02-28 18:23:04,2019-02-28 09:04:58,2019-02-28 09
algumas nuvens,4,1031,100,1,20,LIGHT,2019-02-28 07:10:03,2019-02-28 18:23:01,2019-02-28 08:04:59,2019-02-28 08
algumas nuvens,4,1031,100,0,20,DARK,2019-02-28 07:10:07,2019-02-28 18:22:58,2019-02-28 07:04:58,2019-02-28 07
chuva fraca,5,1031,100,1,20,DARK,2019-02-28 07:10:11,2019-02-28 18:22:55,2019-02-28 06:04:58,2019-02-28 06
algumas nuvens,5,1030,100,0,48,DARK,2019-02-28 07:10:14,2019-02-28 18:22:52,2019-02-28 05:04:58,2019-02-28 05
céu claro,6,1030,100,1,0,DARK,2019-02-28 07:10:18,2019-02-28 18:22:49,2019-02-28 04:04:58,2019-02-28 04
tempo nublado,6,1031,100,1,88,DARK,2019-02-28 07:10:22,2019-02-28 18:22:46,2019-02-28 03:04:58,2019-02-28 03
tempo nublado,7,1031,100,1,88,DARK,2019-02-28 07:10:26,2019-02-28 18:22:43,2019-02-28 02:05:01,2019-02-28 02
algumas nuvens,8,1031,100,1,20,DARK,2019-02-28 07:10:30,2019-02-28 18:22:40,2019-02-28 01:04:58,2019-02-28 01
céu claro,8,1031,100,1,0,DARK,2019-02-28 07:10:34,2019-02-28 18:22:38,2019-02-28 00:04:58,2019-02-28 00
céu claro,9,1031,93,0,0,DARK,2019-02-27 07:10:38,2019-02-27 18:22:35,2019-02-27 23:04:58,2019-02-27 23
algumas nuvens,9,1031,100,0,12,DARK,2019-02-27 07:10:42,2019-02-27 18:22:32,2019-02-27 22:04:58,2019-02-27 22
céu claro,10,1031,93,0,0,DARK,2019-02-27 07:10:46,2019-02-27 18:22:29,2019-02-27 21:04:58,2019-02-27 21
algumas nuvens,12,1030,87,0,20,DARK,2019-02-27 07:10:49,2019-02-27 18:22:26,2019-02-27 20:04:58,2019-02-27 20
algumas nuvens,12,1030,87,1,20,DARK,2019-02-27 07:10:53,2019-02-27 18:22:23,2019-02-27 19:04:58,2019-02-27 19
algumas nuvens,14,1029,76,1,20,LOW_LIGHT,2019-02-27 07:10:57,2019-02-27 18:22:20,2019-02-27 18:04:58,2019-02-27 18
algumas nuvens,15,1029,62,1,20,LIGHT,2019-02-27 07:11:01,2019-02-27 18:22:17,2019-02-27 17:04:58,2019-02-27 17
